id,city,state,name,developer,lat,lng,product_type,units,land_sqft,building_sqft,stories,status,approved_date,est_value,price_per_sqft,sqft_estimated,source_url,source_permit_no,first_seen_at
"live-atlanta-33.65531,-84.35179",Atlanta,GA,"1009 ARDWICK SE ATLANTA, GA 30354",Permit holder on file,33.655314014133,-84.351790968493,Infill,1,2080,1600,2,Completed,2024-08-28,193600,120,true,,,2026-07-30
"live-atlanta-33.65755,-84.35048",Atlanta,GA,"1020 LITHERLAND SE ATLANTA, GA 30354",Permit holder on file,33.657551018362,-84.350481966674,Infill,1,2080,1600,2,Completed,2024-09-09,193600,120,true,,,2026-07-30
"live-atlanta-33.65920,-84.35299",Atlanta,GA,"1040 LITTLE HAMPTON SE ATLANTA, GA 30354",Permit holder on file,33.659198984345,-84.35299100557,Infill,1,2080,1600,2,Under construction,2023-09-01,294593,184,true,,,2026-07-30
"live-atlanta-33.69319,-84.35509",Atlanta,GA,"1031 THOMASVILLE ESTATES SE ATLANTA, GA 30315",Permit holder on file,33.693188020817,-84.35509201342,Infill,1,2080,1600,2,Completed,2023-03-13,387200,109,true,,,2026-07-30
"live-atlanta-33.69328,-84.35484",Atlanta,GA,"1037 THOMASVILLE ESTATES SE ATLANTA, GA 30315",Permit holder on file,33.69328298778,-84.354842987077,Infill,1,2080,1600,2,Completed,2023-03-10,387200,109,true,,,2026-07-30
"live-atlanta-33.69338,-84.35399",Atlanta,GA,"1076 THOMASVILLE ESTATES SE ATLANTA, GA 30315",Permit holder on file,33.693384995541,-84.353989960791,Infill,1,2080,1600,2,Completed,2024-03-25,193600,120,true,,,2026-07-30
"live-atlanta-33.69362,-84.35405",Atlanta,GA,"1072 THOMASVILLE ESTATES SE ATLANTA, GA 30315",Permit holder on file,33.693620988025,-84.354046035723,Infill,1,2080,1600,2,Completed,2024-02-16,193600,120,true,,,2026-07-30
"live-atlanta-33.69370,-84.35499",Atlanta,GA,"1028 THOMASVILLE ESTATES SE ATLANTA, GA 30315",Permit holder on file,33.693698981634,-84.354993023144,Infill,1,2080,1600,2,Completed,2024-02-07,193600,120,true,,,2026-07-30
"live-atlanta-33.69374,-84.35406",Atlanta,GA,"1068 THOMASVILLE ESTATES SE ATLANTA, GA 30315",Permit holder on file,33.693741016879,-84.354056010188,Infill,1,2080,1600,2,Completed,2024-01-17,193600,120,true,,,2026-07-30
"live-atlanta-33.69386,-84.35406",Atlanta,GA,"1064 THOMASVILLE ESTATES SE ATLANTA, GA 30315",Permit holder on file,33.693862009651,-84.354059027673,Infill,1,2080,1600,2,Completed,2024-05-02,193600,120,true,,,2026-07-30
"live-atlanta-33.69412,-84.35406",Atlanta,GA,"1056 THOMASVILLE ESTATES SE ATLANTA, GA 30315",Permit holder on file,33.694118998802,-84.354060033501,Infill,1,2080,1600,2,Completed,2023-12-20,193600,120,true,,,2026-07-30
"live-atlanta-33.69425,-84.35414",Atlanta,GA,"1052 THOMASVILLE ESTATES SE ATLANTA, GA 30315",Permit holder on file,33.694254995181,-84.354139996857,Infill,1,2080,1600,2,Completed,2023-12-28,193600,120,true,,,2026-07-30
"live-atlanta-33.69429,-84.35464",Atlanta,GA,"1045 THOMASVILLE ESTATES SE ATLANTA, GA 30315",Permit holder on file,33.694288983799,-84.354635032059,Infill,1,2080,1600,2,Completed,2023-03-10,387200,109,true,,,2026-07-30
"live-atlanta-33.69444,-84.35527",Atlanta,GA,"1060 THOMASVILLE ESTATES SE ATLANTA, GA 30315",Permit holder on file,33.694442790585,-84.355269246956,Infill,1,2080,1600,2,Completed,2023-12-27,193600,120,true,,,2026-07-30
"live-atlanta-33.69448,-84.35524",Atlanta,GA,"1018 THOMASVILLE ESTATES SE ATLANTA, GA 30315",Permit holder on file,33.694478890204,-84.355244849002,Infill,1,2080,1600,2,Under construction,2024-04-24,193600,120,true,,,2026-07-30
"live-atlanta-33.69489,-84.35514",Atlanta,GA,"1024 THOMASVILLE ESTATES SE ATLANTA, GA 30315",Permit holder on file,33.694894995398,-84.355140963735,Infill,1,2080,1600,2,Completed,2024-02-07,193600,120,true,,,2026-07-30
"live-atlanta-33.70085,-84.42339",Atlanta,GA,"1063 REGENT SW ATLANTA, GA 30310",Permit holder on file,33.700851008157,-84.42339496893,Infill,1,2080,1600,2,Completed,2024-01-18,193600,120,true,,,2026-07-30
"live-atlanta-33.70997,-84.42310",Atlanta,GA,"1064 KATHERWOOD SW ATLANTA, GA 30310",Permit holder on file,33.70997059112,-84.423096792855,Infill,1,2080,1600,2,Completed,2023-11-03,193600,120,true,,,2026-07-30
"live-atlanta-33.71101,-84.38812",Atlanta,GA,"104 MELDON SE ATLANTA, GA 30315",Permit holder on file,33.711008994706,-84.388117969217,Infill,1,2080,1600,2,Under construction,2024-06-06,275000,172,true,,,2026-07-30
"live-atlanta-33.71188,-84.38610",Atlanta,GA,"100 PARK SE ATLANTA, GA 30315",Permit holder on file,33.711880537456,-84.38610183397,Infill,1,2080,1600,2,Under construction,2024-05-28,195000,122,true,,,2026-07-30
"live-atlanta-33.71807,-84.42316",Atlanta,GA,"1070 DILL SW ATLANTA, GA 30310",Permit holder on file,33.71806999376,-84.423163963679,Small multi,6,12480,9600,3,Under construction,2024-06-26,1161600,120,true,,,2026-07-30
"live-atlanta-33.72495,-84.42215",Atlanta,GA,"1041 WHITE OAK SW ATLANTA, GA 30310",Permit holder on file,33.724947498365,-84.422150768045,Infill,1,2080,1600,2,Under construction,2024-09-05,193600,120,true,,,2026-07-30
